,x,y,z,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6
0,0.043377977120407155,0.10740965629483984,0.7113276769701687,-1.5825485909097037,0.7854327674227576,-3.3389541009738526e-09,-1.5708655750270226,3.1332826448794258,-2.447465037321092e-07
1,0.04110105506773037,0.10740965629483985,0.7188136583403849,-1.5825485909097037,0.7854327674227576,-3.3389541009738526e-09,-1.5708655750270226,3.1332826448794258,-2.447465037321092e-07
2,0.039229494693890955,0.10740965629483985,0.7258942780317638,-1.569945967672437,0.7861434041170592,3.6069948279355596e-05,-1.5764845012339097,-3.140857699201321,-0.004906888604894047
3,0.03775275874569899,0.10740965629483987,0.7325800732974951,-1.5659424571508096,0.6816443236472648,0.330896147976428,-2.082031711291132,-3.138046499584757,-0.28408516370786135
4,0.03666030996996453,0.10740965629483987,0.738881581390769,-1.5629223593751542,0.6342445737220795,0.4767511281825344,-2.2879548683624162,-3.136693516718761,-0.39153852301620534
5,0.03594161111349764,0.10740965629483988,0.7448093395647752,-1.5610015188762036,0.6141979510152975,0.5430366560855434,-2.3930279760548467,-3.1360171534808847,-0.4503610130949163
6,0.03558612492310838,0.10740965629483988,0.7503738850727039,-1.5593122440406761,0.6028148148423561,0.5832251697779665,-2.4634304674786267,-3.135532896998721,-0.49194735164134856
7,0.035583314145606816,0.10740965629483988,0.7555857551677447,-1.5596319308971487,0.591041621775742,0.6279808404857115,-2.5459245115546385,-3.135616895844918,-0.5414598786591328
8,0.035922641527803,0.1074096562948399,0.760455487103088,-1.5606562497611867,0.5809307532457636,0.6701351016270501,-2.6276607181535483,-3.1358213218121116,-0.5911575982617129
9,0.036593569816507014,0.1074096562948399,0.7649936181319233,-1.5627567410820509,0.5732022924110403,0.7060126273309268,-2.7026161037457,-3.1361355429455156,-0.637974032844354
10,0.03758556175852891,0.1074096562948399,0.7692106855074409,-1.5658032202195118,0.5676016339151619,0.735295241926516,-2.7687424567770917,-3.1364590870310667,-0.6804319420472323
11,0.03888808010067875,0.1074096562948399,0.7731172264828303,-1.5698163299848398,0.5636004831409857,0.7591139665146381,-2.826850482246833,-3.136729721688117,-0.7187383316959232
12,0.04049058758976659,0.10740965629483991,0.7767237783112819,-1.5698163299848398,0.5636004831409857,0.7591139665146381,-2.826850482246833,-3.136729721688117,-0.7187383316959232
13,0.04238254697260252,0.10740965629483991,0.7800408782459853,-1.5822593433247314,0.5594411304344356,0.7912270151016855,-2.918304664147064,-3.136778416815781,-0.7822614887144899
14,0.044553420995996566,0.10740965629483991,0.7830790635401306,-1.5822593433247314,0.5594411304344356,0.7912270151016855,-2.918304664147064,-3.136778416815781,-0.7822614887144899
15,0.046992672406758806,0.10740965629483991,0.7858488714469077,-1.5967789472972194,0.5571178976732256,0.817586748768162,-3.000134110372849,-3.135993330166393,-0.8400790382632325
16,0.049689763951699314,0.10740965629483991,0.7883608392195066,-1.5967789472972194,0.5571178976732256,0.817586748768162,-3.000134110372849,-3.135993330166393,-0.8400790382632325
17,0.05263415837762814,0.10740965629483991,0.7906255041111171,-1.6151515955370395,0.5562140485180525,0.8364017553872951,-3.06667708389197,-3.1341062291872634,-0.8887504131050002
18,0.055815318431355364,0.10740965629483991,0.7926534033749293,-1.6151515955370395,0.5562140485180525,0.8364017553872951,-3.06667708389197,-3.1341062291872634,-0.8887504131050002
19,0.05922270685969102,0.10740965629483991,0.794455074264133,-1.6364109483978702,0.5560688820651666,0.8495359224788213,-3.119746724254358,-3.131076049120377,-0.9289162400173065
20,0.06284578640944519,0.10740965629483991,0.7960410540319182,-1.6364109483978702,0.5560688820651666,0.8495359224788213,-3.119746724254358,-3.131076049120377,-0.9289162400173065
21,0.06667401982742793,0.10740965629483991,0.7974218799314747,-1.6604775664773037,0.5562799567013589,0.8582571946913372,3.1219909487090196,-3.1268730059238807,-0.9616008158273607
22,0.07069686986044932,0.10740965629483991,0.7986080892159927,-1.6604775664773037,0.5562799567013589,0.8582571946913372,3.1219909487090196,-3.1268730059238807,-0.9616008158273607
23,0.0749037992553194,0.10740965629483991,0.7996102191386619,-1.6869147332179433,0.5565986161105964,0.8634152612754712,3.0907499060213115,-3.121587410906592,-0.9876624182007577
24,0.07928427075884822,0.10740965629483991,0.8004388069526724,-1.6869147332179433,0.5565986161105964,0.8634152612754712,3.0907499060213115,-3.121587410906592,-0.9876624182007577
25,0.08382774711784592,0.10740965629483991,0.8011043899112141,-1.7153684220213883,0.5568732907580951,0.8655043452641844,3.068781792255246,-3.1153543097509884,-1.0077357391589887
26,0.08852369107912247,0.10740965629483991,0.801617505267477,-1.7153684220213883,0.5568732907580951,0.8655043452641844,3.068781792255246,-3.1153543097509884,-1.0077357391589887
27,0.09336156538948798,0.1074096562948399,0.8019886902746507,-1.7454254682367532,0.5570179502988092,0.8648327803475282,3.0553281737322155,-3.108362434116388,-1.0223953126539982
28,0.0983308327957525,0.1074096562948399,0.8022284821859256,-1.7454254682367532,0.5570179502988092,0.8648327803475282,3.0553281737322155,-3.108362434116388,-1.0223953126539982
29,0.10342095604472606,0.1074096562948399,0.8023474182544913,-1.7766780358909549,0.5569969575119196,0.8615774304293771,3.0497465077477752,-3.100826197365166,-1.0321718815618848
