,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
119,-690.0,0.6345922753767015,False,False,True,150,3.782402515411377,0.7578125
120,-750.0,0.6251439583640594,False,False,True,150,4.309928894042969,0.84375
121,-31.0,0.6250814439682231,False,True,False,1,2.5612854957580566,0.765625
122,-600.0,0.6157747318154072,False,False,True,150,4.357235908508301,0.734375
123,-83.0,0.6149747047922705,False,True,False,13,3.510103702545166,0.7890625
124,-820.0,0.6058184698504194,False,False,True,150,4.657691955566406,0.734375
125,-46.0,0.6054550696291642,False,True,False,6,3.246330738067627,0.734375
126,-660.0,0.5964405706244744,False,False,True,150,4.095869541168213,0.7421875
127,-31.0,0.5963809265674119,False,True,False,1,3.043248414993286,0.7734375
128,-21.0,0.5963212884747552,False,True,False,1,4.595376014709473,0.7421875
129,-650.0,0.5874427805043396,False,False,True,150,4.425435543060303,0.7109375
130,-31.0,0.5873840362262892,False,True,False,1,5.160390377044678,0.734375
131,-590.0,0.5786385932107142,False,False,True,150,3.2556943893432617,0.7578125
132,-670.0,0.570023359340812,False,False,True,150,3.4417428970336914,0.765625
133,-440.0,0.5615363959587476,False,False,True,150,2.653451919555664,0.703125
134,-21.0,0.5614802423191517,False,True,False,1,1.604429006576538,0.7734375
135,-21.0,0.5614240942949198,False,True,False,1,2.628925323486328,0.7265625
136,-820.0,0.5530651636440794,False,False,True,150,4.093055725097656,0.8515625
137,-620.0,0.544830687433892,False,False,True,150,3.0604395866394043,0.8125
138,-770.0,0.5367188126871736,False,False,True,150,4.404764175415039,0.7734375
139,-848.0,0.5288334754220925,False,True,False,148,2.7775943279266357,0.734375
140,-650.0,0.5209597799540558,False,False,True,150,2.222856283187866,0.796875
141,-103.0,0.5202829384397867,False,True,False,13,2.674673080444336,0.7734375
142,-414.0,0.5148997677273475,False,True,False,104,3.520601749420166,0.8203125
143,-125.0,0.5136140618237137,False,True,False,25,3.2055299282073975,0.7578125
144,-21.0,0.5135627004175314,False,True,False,1,2.035538911819458,0.828125
145,-21.0,0.5135113441474897,False,True,False,1,1.9496386051177979,0.8359375
146,-850.0,0.50586577681654,False,False,True,150,2.5660316944122314,0.78125
147,-610.0,0.498334042802962,False,False,True,150,2.9787988662719727,0.7734375
148,-32.0,0.49823438097774186,False,True,False,2,2.239833116531372,0.6953125
149,-62.0,0.49763682844567325,False,True,False,12,2.110823154449463,0.7421875
150,-75.0,0.49689089549531784,False,True,False,15,3.539400100708008,0.7421875
151,-33.0,0.4967418431328992,False,True,False,3,2.0263633728027344,0.71875
152,-21.0,0.4966921689485859,False,True,False,1,2.7492337226867676,0.6953125
153,-21.0,0.49664249973169106,False,True,False,1,3.301199436187744,0.7421875
154,-21.0,0.4965928354817179,False,True,False,1,3.3460984230041504,0.78125
155,-619.0,0.48973760652268955,False,True,False,139,2.095799446105957,0.7890625
156,-25.0,0.4894927866882917,False,True,False,5,1.6785023212432861,0.75
157,-23.0,0.48934595353657934,False,True,False,3,2.4029245376586914,0.7578125
158,-21.0,0.4892970189412257,False,True,False,1,2.721895456314087,0.7265625
159,-21.0,0.48924808923933155,False,True,False,1,2.242030382156372,0.7578125
160,-600.0,0.48196377264058576,False,False,True,150,1.7261638641357422,0.765625
161,-187.0,0.47970374513110403,False,True,False,47,2.2820591926574707,0.7421875
162,-62.0,0.4791284171359075,False,True,False,12,2.2648205757141113,0.7734375
163,-620.0,0.4719947703038876,False,False,True,150,2.390685558319092,0.765625
164,-476.0,0.4670178014243981,False,True,False,106,2.5563082695007324,0.7578125
165,-77.0,0.4662245059887256,False,True,False,17,2.5917158126831055,0.71875
166,-93.0,0.46422394487233604,False,True,False,43,3.1444358825683594,0.7734375
167,-45.0,0.4639918793176524,False,True,False,5,3.003986120223999,0.796875
168,-570.0,0.4579987251335871,False,True,False,130,1.903180480003357,0.8046875
169,-640.0,0.45117967404463555,False,False,True,150,1.5214293003082275,0.765625
170,-492.0,0.44526294284664614,False,True,False,132,3.1395483016967773,0.7578125
171,-630.0,0.43863351226383707,False,False,True,150,2.149054527282715,0.7890625
172,-21.0,0.4385896489126107,False,True,False,1,1.8021283149719238,0.75
173,-212.0,0.43631478875604096,False,True,False,52,2.6632866859436035,0.78125
174,-21.0,0.43627115727716537,False,True,False,1,3.3954050540924072,0.75
175,-547.0,0.42990456205677774,False,True,False,147,3.122783660888672,0.75
176,-50.0,0.4294748509001945,False,True,False,10,3.0812065601348877,0.78125
177,-21.0,0.42943190341510445,False,True,False,1,2.1628050804138184,0.859375
178,-450.0,0.4230381780007835,False,False,True,150,1.5442873239517212,0.7265625
179,-31.0,0.42299587418298346,False,True,False,1,1.7203375101089478,0.7578125
180,-720.0,0.4166979735160586,False,False,True,150,1.8978718519210815,0.8046875
181,-27.0,0.41640637242658884,False,True,False,7,3.635420799255371,0.7421875
182,-21.0,0.4163647317893462,False,True,False,1,2.809995174407959,0.75
183,-31.0,0.41632309531616724,False,True,False,1,2.1598381996154785,0.8828125
184,-25.0,0.41611497539665565,False,True,False,5,2.3650522232055664,0.78125
185,-386.0,0.41172723338522343,False,True,False,106,2.2567219734191895,0.8046875
186,-21.0,0.4116860606618849,False,True,False,1,1.9224770069122314,0.765625
187,-47.0,0.41098675397195367,False,True,False,17,2.8215115070343018,0.78125
188,-103.0,0.41045279164394544,False,True,False,13,3.0744426250457764,0.8046875
189,-670.0,0.4043416424152953,False,False,True,150,2.4036755561828613,0.8125
190,-136.0,0.4016816422300165,False,True,False,66,1.4786059856414795,0.7890625
191,-291.0,0.3972474098065618,False,True,False,111,1.393698811531067,0.7578125
192,-150.0,0.39526603126139,False,True,False,50,1.9062564373016357,0.828125
193,-31.0,0.39522650465826387,False,True,False,1,2.8574514389038086,0.8671875
194,-456.0,0.39027764653520863,False,True,False,126,2.2107090950012207,0.8203125
195,-49.0,0.3899265371205014,False,True,False,9,1.519165277481079,0.7734375
196,-399.0,0.3856992072994967,False,True,False,109,2.8831801414489746,0.7890625
197,-33.0,0.3855835091078974,False,True,False,3,1.6426291465759277,0.7734375
198,-470.0,0.3798426336351608,False,False,True,150,1.4725600481033325,0.8125
199,-520.0,0.37418723290502875,False,False,True,150,2.0300750732421875,0.8671875
200,-31.0,0.37414981418173826,False,True,False,1,3.040011167526245,0.765625
201,-137.0,0.37314092185556363,False,True,False,27,2.074185371398926,0.796875
202,-650.0,0.3675853015669495,False,False,True,150,2.0208678245544434,0.8125
203,-470.0,0.362112397793688,False,False,True,150,2.7524259090423584,0.84375
204,-74.0,0.36160576982728626,False,True,False,14,2.7453060150146484,0.7734375
205,-537.0,0.35632878204699087,False,True,False,147,1.7261135578155518,0.796875
