,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-31.0,0.989901,False,True,False,1,0.0,0.0
1,-75.0,0.9894061484802015,False,True,False,5,0.0,0.0
2,-21.0,0.9893072078653534,False,True,False,1,0.0,0.0
3,-21.0,0.9892082771445669,False,True,False,1,0.0,0.0
4,-60.0,0.988219513892463,False,True,False,10,0.0,0.0
5,-31.0,0.9881206919410738,False,True,False,1,0.0,0.0
6,-21.0,0.9880218798718797,False,True,False,1,0.0,0.0
7,-21.0,0.9879230776838925,False,True,False,1,0.0,0.0
8,-56.0,0.987330472005987,False,True,False,6,0.0,0.0
9,-21.0,0.9872317389587865,False,True,False,1,0.0,0.0
10,-32.0,0.987034302483312,False,True,False,2,0.0,0.0
11,-21.0,0.9869355990530637,False,True,False,1,0.0,0.0
12,-21.0,0.9868369054931584,False,True,False,1,0.0,0.0
13,-21.0,0.9867382218026091,False,True,False,1,0.0,0.0
14,-67.0,0.9860477122278416,False,True,False,7,0.0,0.0
15,-21.0,0.9859491074566188,False,True,False,1,0.0,0.0
16,-21.0,0.9858505125458732,False,True,False,1,0.0,0.0
17,-21.0,0.9857519274946186,False,True,False,1,0.0,0.0
18,-22.0,0.9855547869666389,False,True,False,2,0.0,0.0
19,-22.0,0.9853576858647934,False,True,False,2,0.0,0.0
20,-21.0,0.985259150096207,False,True,False,1,0.0,0.0
21,-43.0,0.9849636019079675,False,True,False,3,0.0,0.0
22,-43.0,0.9846681423753183,False,True,False,3,0.0,0.0
23,-32.0,0.9844712185935247,False,True,False,2,0.0,0.0
24,-35.0,0.9839790814215056,False,True,False,5,0.0,0.0
25,-21.0,0.9838806835133634,False,True,False,1,0.0,0.0
26,-21.0,0.9837822954450122,False,True,False,1,0.0,0.0
27,-78.0,0.9829955450126141,False,True,False,8,0.0,0.0
28,-21.0,0.9828972454581129,False,True,False,1,0.0,0.0
29,-31.0,0.982798955733567,False,True,False,1,0.0,0.0
30,-54.0,0.9824058951152799,False,True,False,4,0.0,0.0
31,-21.0,0.9823076545257684,False,True,False,1,0.0,0.0
32,-33.0,0.9820129916976581,False,True,False,3,0.0,0.0
33,-31.0,0.9819147903984884,False,True,False,1,0.0,0.0
34,-179.0,0.980050830419928,False,True,False,19,0.0,0.0
35,-21.0,0.979952825336886,False,True,False,1,0.0,0.0
36,-21.0,0.9798548300543524,False,True,False,1,0.0,0.0
37,-21.0,0.9797568445713469,False,True,False,1,0.0,0.0
38,-870.0,0.9651694415694424,False,False,True,150,0.0,0.0
39,-21.0,0.9650729246252855,False,True,False,1,0.0,0.0
40,-31.0,0.964976417332823,False,True,False,1,0.0,0.0
41,-21.0,0.9648799196910898,False,True,False,1,0.0,0.0
42,-21.0,0.9647834316991206,False,True,False,1,0.0,0.0
43,-102.0,0.9636263281259421,False,True,False,12,0.0,0.0
44,-21.0,0.9635299654931295,False,True,False,1,0.0,0.0
45,-21.0,0.9634336124965802,False,True,False,1,0.0,0.0
46,-585.0,0.9543238774411543,False,True,False,95,0.0,0.0
47,-32.0,0.9541330222089048,False,True,False,2,0.0,0.0
48,-21.0,0.954037608906684,False,True,False,1,0.0,0.0
49,-45.0,0.9535606854964518,False,True,False,5,0.0,0.0
50,-21.0,0.9534653294279022,False,True,False,1,0.0,0.0
51,-22.0,0.95327464589667,False,True,False,2,0.0,0.0
52,-21.0,0.9531793184320804,False,True,False,1,0.0,0.0
53,-370.0,0.9465300303938422,False,True,False,70,0.0,0.0
54,-54.0,0.9461514751697006,False,True,False,4,0.0,0.0
55,-22.0,0.9459622543361814,False,True,False,2,0.0,0.0
56,-21.0,0.9458676581107478,False,True,False,1,0.0,0.0
57,-525.0,0.9378614572600616,False,True,False,85,0.0,0.0
58,-79.0,0.9370177194998838,False,True,False,9,0.0,0.0
59,-32.0,0.936830325326161,False,True,False,2,0.0,0.0
60,-44.0,0.9364556494021028,False,True,False,4,0.0,0.0
61,-154.0,0.934210738566739,False,True,False,24,0.0,0.0
62,-101.0,0.933183620416108,False,True,False,11,0.0,0.0
63,-436.0,0.9270445826747113,False,True,False,66,0.0,0.0
64,-21.0,0.9269518782164439,False,True,False,1,0.0,0.0
65,-21.0,0.9268591830286222,False,True,False,1,0.0,0.0
66,-21.0,0.9267664971103194,False,True,False,1,0.0,0.0
67,-32.0,0.9265811530785624,False,True,False,2,0.0,0.0
68,-623.0,0.9152534467159078,False,True,False,123,0.0,0.0
69,-31.0,0.9151619213712362,False,True,False,1,0.0,0.0
70,-21.0,0.9150704051790991,False,True,False,1,0.0,0.0
71,-21.0,0.9149788981385812,False,True,False,1,0.0,0.0
72,-35.0,0.9145215001782524,False,True,False,5,0.0,0.0
73,-57.0,0.9138815271456376,False,True,False,7,0.0,0.0
74,-67.0,0.9132420019597738,False,True,False,7,0.0,0.0
75,-21.0,0.9131506777595778,False,True,False,1,0.0,0.0
76,-21.0,0.9130593626918019,False,True,False,1,0.0,0.0
77,-21.0,0.9129680567555327,False,True,False,1,0.0,0.0
78,-43.0,0.9126941937266349,False,True,False,3,0.0,0.0
79,-33.0,0.91242041284843,False,True,False,3,0.0,0.0
80,-21.0,0.9123291708071452,False,True,False,1,0.0,0.0
81,-910.0,0.8987456849058246,False,False,True,150,0.0,0.0
82,-32.0,0.8985659447563004,False,True,False,2,0.0,0.0
83,-21.0,0.8984760881618248,False,True,False,1,0.0,0.0
84,-108.0,0.8968602051386668,False,True,False,18,0.0,0.0
85,-33.0,0.8965911739820346,False,True,False,3,0.0,0.0
86,-185.0,0.8943523837595756,False,True,False,25,0.0,0.0
