,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-31.0,0.989901,False,True,False,1,0.0,0.0
1,-31.0,0.9898020099,False,True,False,1,0.0,0.0
2,-33.0,0.9895050989901005,False,True,False,3,0.0,0.0
3,-31.0,0.9894061484802015,False,True,False,1,0.0,0.0
4,-95.0,0.9879230776838925,False,False,True,15,0.0,0.0
5,-31.0,0.9878242853761242,False,True,False,1,0.0,0.0
6,-54.0,0.9874292149274797,False,True,False,4,0.0,0.0
7,-21.0,0.987330472005987,False,True,False,1,0.0,0.0
8,-54.0,0.9869355990530637,False,True,False,4,0.0,0.0
9,-54.0,0.9865408840256308,False,True,False,4,0.0,0.0
10,-95.0,0.9850621081187794,False,False,True,15,0.0,0.0
11,-21.0,0.9849636019079675,False,True,False,1,0.0,0.0
12,-21.0,0.9848651055477767,False,True,False,1,0.0,0.0
13,-31.0,0.984766619037222,False,True,False,1,0.0,0.0
14,-57.0,0.9840774891704226,False,True,False,7,0.0,0.0
15,-57.0,0.9833888415498369,False,True,False,7,0.0,0.0
16,-21.0,0.9832905026656819,False,True,False,1,0.0,0.0
17,-43.0,0.9829955450126141,False,True,False,3,0.0,0.0
18,-21.0,0.9828972454581129,False,True,False,1,0.0,0.0
19,-21.0,0.982798955733567,False,True,False,1,0.0,0.0
20,-54.0,0.9824058951152799,False,True,False,4,0.0,0.0
21,-21.0,0.9823076545257684,False,True,False,1,0.0,0.0
22,-33.0,0.9820129916976581,False,True,False,3,0.0,0.0
23,-105.0,0.9805410028770712,False,False,True,15,0.0,0.0
24,-85.0,0.9790712204947963,False,False,True,15,0.0,0.0
25,-21.0,0.9789733133727468,False,True,False,1,0.0,0.0
26,-102.0,0.9777991913037609,False,True,False,12,0.0,0.0
27,-85.0,0.9763335187611909,False,False,True,15,0.0,0.0
28,-21.0,0.9762358854093148,False,True,False,1,0.0,0.0
29,-65.0,0.9757478650804369,False,True,False,5,0.0,0.0
30,-21.0,0.9756502902939288,False,True,False,1,0.0,0.0
31,-67.0,0.9749675399431397,False,True,False,7,0.0,0.0
32,-45.0,0.974480153660173,False,True,False,5,0.0,0.0
33,-44.0,0.9740904200636203,False,True,False,4,0.0,0.0
34,-57.0,0.9734087612944743,False,True,False,7,0.0,0.0
35,-90.0,0.9724357904503338,False,True,False,10,0.0,0.0
36,-42.0,0.9722413130166017,False,True,False,2,0.0,0.0
37,-31.0,0.9721440888853,False,True,False,1,0.0,0.0
38,-24.0,0.9717552895745027,False,True,False,4,0.0,0.0
39,-56.0,0.9711723821446179,False,True,False,6,0.0,0.0
