,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-32.0,0.9898020099,False,True,False,2,0.0,0.0
1,-22.0,0.9896040593960401,False,True,False,2,0.0,0.0
2,-221.0,0.9865408840256308,False,True,False,31,0.0,0.0
3,-34.0,0.9861463268605276,False,True,False,4,0.0,0.0
4,-21.0,0.9860477122278416,False,True,False,1,0.0,0.0
5,-31.0,0.9859491074566188,False,True,False,1,0.0,0.0
6,-21.0,0.9858505125458732,False,True,False,1,0.0,0.0
7,-31.0,0.9857519274946186,False,True,False,1,0.0,0.0
8,-33.0,0.9854562314879423,False,True,False,3,0.0,0.0
9,-58.0,0.9846681423753183,False,True,False,8,0.0,0.0
10,-32.0,0.9844712185935247,False,True,False,2,0.0,0.0
11,-69.0,0.9835855488237462,False,True,False,9,0.0,0.0
12,-21.0,0.9834871902688638,False,True,False,1,0.0,0.0
13,-69.0,0.9826024057704099,False,True,False,9,0.0,0.0
14,-85.0,0.9811295334473307,False,True,False,15,0.0,0.0
15,-90.0,0.9801488453044584,False,True,False,10,0.0,0.0
16,-47.0,0.9794629469097011,False,True,False,7,0.0,0.0
17,-21.0,0.9793650006150102,False,True,False,1,0.0,0.0
18,-21.0,0.9792670641149487,False,True,False,1,0.0,0.0
19,-21.0,0.9791691374085372,False,True,False,1,0.0,0.0
20,-80.0,0.9781904087797608,False,True,False,10,0.0,0.0
21,-21.0,0.9780925897388829,False,True,False,1,0.0,0.0
22,-91.0,0.9770172256797416,False,True,False,11,0.0,0.0
23,-102.0,0.9758454496253994,False,True,False,12,0.0,0.0
24,-137.0,0.974187838847505,False,True,False,17,0.0,0.0
25,-71.0,0.9731167678673754,False,True,False,11,0.0,0.0
26,-21.0,0.9730194561905887,False,True,False,1,0.0,0.0
27,-31.0,0.9729221542449696,False,True,False,1,0.0,0.0
28,-21.0,0.9728248620295451,False,True,False,1,0.0,0.0
29,-31.0,0.9727275795433421,False,True,False,1,0.0,0.0
30,-102.0,0.9715609482341407,False,True,False,12,0.0,0.0
31,-57.0,0.9708810595641748,False,True,False,7,0.0,0.0
32,-54.0,0.9704927653893293,False,True,False,4,0.0,0.0
33,-61.0,0.9694257569583228,False,True,False,11,0.0,0.0
34,-23.0,0.9691349583130385,False,True,False,3,0.0,0.0
35,-21.0,0.9690380448172072,False,True,False,1,0.0,0.0
36,-21.0,0.9689411410127255,False,True,False,1,0.0,0.0
37,-44.0,0.9685536226889133,False,True,False,4,0.0,0.0
38,-21.0,0.9684567673266444,False,True,False,1,0.0,0.0
39,-33.0,0.968166259349181,False,True,False,3,0.0,0.0
40,-175.0,0.9657487459740283,False,True,False,25,0.0,0.0
41,-55.0,0.965265968166259,False,True,False,5,0.0,0.0
