,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
0,-32.0,0.9898020099,False,True,False,2,0.0,0.0
1,-31.0,0.98970302969901,False,True,False,1,0.0,0.0
2,-69.0,0.9888126531822491,False,True,False,9,0.0,0.0
3,-43.0,0.9885160390496852,False,True,False,3,0.0,0.0
4,-35.0,0.9880218798718797,False,True,False,5,0.0,0.0
5,-21.0,0.9879230776838925,False,True,False,1,0.0,0.0
6,-21.0,0.9878242853761242,False,True,False,1,0.0,0.0
7,-31.0,0.9877255029475867,False,True,False,1,0.0,0.0
8,-21.0,0.9876267303972919,False,True,False,1,0.0,0.0
9,-23.0,0.987330472005987,False,True,False,3,0.0,0.0
10,-350.0,0.9814239311849495,False,False,True,60,0.0,0.0
11,-21.0,0.9813257887918311,False,True,False,1,0.0,0.0
12,-21.0,0.9812276562129519,False,True,False,1,0.0,0.0
13,-44.0,0.9808352240202014,False,True,False,4,0.0,0.0
14,-43.0,0.9805410028770712,False,True,False,3,0.0,0.0
15,-119.0,0.9786796507469555,False,True,False,19,0.0,0.0
16,-21.0,0.9785817827818808,False,True,False,1,0.0,0.0
17,-280.0,0.9727275795433421,False,False,True,60,0.0,0.0
18,-31.0,0.9726303067853878,False,True,False,1,0.0,0.0
19,-66.0,0.9720468744764115,False,True,False,6,0.0,0.0
20,-43.0,0.9717552895745027,False,True,False,3,0.0,0.0
21,-34.0,0.9713666457601035,False,True,False,4,0.0,0.0
22,-37.0,0.9706868930610726,False,True,False,7,0.0,0.0
23,-32.0,0.9704927653893293,False,True,False,2,0.0,0.0
24,-21.0,0.9703957161127903,False,True,False,1,0.0,0.0
25,-105.0,0.9689411410127255,False,True,False,15,0.0,0.0
26,-31.0,0.9688442468986243,False,True,False,1,0.0,0.0
27,-31.0,0.9687473624739344,False,True,False,1,0.0,0.0
28,-43.0,0.9684567673266444,False,True,False,3,0.0,0.0
29,-31.0,0.9683599216499118,False,True,False,1,0.0,0.0
30,-320.0,0.9625668690005176,False,False,True,60,0.0,0.0
31,-93.0,0.9613162825977496,False,True,False,13,0.0,0.0
32,-21.0,0.9612201509694899,False,True,False,1,0.0,0.0
33,-21.0,0.961124028954393,False,True,False,1,0.0,0.0
34,-69.0,0.9602593632522622,False,True,False,9,0.0,0.0
35,-21.0,0.9601633373159371,False,True,False,1,0.0,0.0
36,-118.0,0.958436511575475,False,True,False,18,0.0,0.0
37,-22.0,0.9582448338575251,False,True,False,2,0.0,0.0
38,-21.0,0.9581490093741394,False,True,False,1,0.0,0.0
39,-310.0,0.9524170418141725,False,False,True,60,0.0,0.0
40,-22.0,0.9522265679299802,False,True,False,2,0.0,0.0
41,-21.0,0.9521313452731872,False,True,False,1,0.0,0.0
42,-21.0,0.9520361321386599,False,True,False,1,0.0,0.0
43,-54.0,0.9516553748041644,False,True,False,4,0.0,0.0
44,-150.0,0.9488045445195185,False,True,False,30,0.0,0.0
45,-66.0,0.9482354040945138,False,True,False,6,0.0,0.0
46,-43.0,0.9479509619193993,False,True,False,3,0.0,0.0
47,-21.0,0.9478561668232074,False,True,False,1,0.0,0.0
48,-79.0,0.9470034374216789,False,True,False,9,0.0,0.0
49,-21.0,0.9469087370779368,False,True,False,1,0.0,0.0
50,-21.0,0.9468140462042289,False,True,False,1,0.0,0.0
51,-32.0,0.9466246928631286,False,True,False,2,0.0,0.0
52,-21.0,0.9465300303938422,False,True,False,1,0.0,0.0
53,-21.0,0.9464353773908029,False,True,False,1,0.0,0.0
54,-69.0,0.9455839261883985,False,True,False,9,0.0,0.0
55,-99.0,0.9437889327612502,False,True,False,19,0.0,0.0
56,-58.0,0.9430341658230968,False,True,False,8,0.0,0.0
57,-21.0,0.9429398624065145,False,True,False,1,0.0,0.0
58,-21.0,0.9428455684202739,False,True,False,1,0.0,0.0
59,-21.0,0.9427512838634319,False,True,False,1,0.0,0.0
60,-21.0,0.9426570087350455,False,True,False,1,0.0,0.0
61,-21.0,0.9425627430341721,False,True,False,1,0.0,0.0
62,-66.0,0.9419973467539133,False,True,False,6,0.0,0.0
63,-38.0,0.9412440125830221,False,True,False,8,0.0,0.0
64,-341.0,0.9364556494021028,False,True,False,51,0.0,0.0
65,-32.0,0.9362683676367789,False,True,False,2,0.0,0.0
66,-66.0,0.9357067470377282,False,True,False,6,0.0,0.0
67,-23.0,0.9354260630838837,False,True,False,3,0.0,0.0
68,-270.0,0.9298300317819815,False,False,True,60,0.0,0.0
69,-159.0,0.9280649438303056,False,True,False,19,0.0,0.0
70,-69.0,0.9272300194062923,False,True,False,9,0.0,0.0
71,-338.0,0.9218673838346446,False,True,False,58,0.0,0.0
72,-23.0,0.921590851274594,False,True,False,3,0.0,0.0
73,-21.0,0.9214986921894665,False,True,False,1,0.0,0.0
74,-67.0,0.9208538365874099,False,True,False,7,0.0,0.0
75,-350.0,0.9153449812140292,False,False,True,60,0.0,0.0
76,-31.0,0.9152534467159078,False,True,False,1,0.0,0.0
77,-22.0,0.9150704051790991,False,True,False,2,0.0,0.0
78,-21.0,0.9149788981385812,False,True,False,1,0.0,0.0
79,-95.0,0.9136073901030258,False,True,False,15,0.0,0.0
80,-32.0,0.9134246777610792,False,True,False,2,0.0,0.0
81,-114.0,0.9121467140962755,False,True,False,14,0.0,0.0
82,-45.0,0.9116907319447778,False,True,False,5,0.0,0.0
83,-21.0,0.9115995628715833,False,True,False,1,0.0,0.0
84,-55.0,0.9111438542409882,False,True,False,5,0.0,0.0
85,-32.0,0.9109616345815785,False,True,False,2,0.0,0.0
86,-300.0,0.9055119576662867,False,False,True,60,0.0,0.0
87,-172.0,0.9035219216982168,False,True,False,22,0.0,0.0
88,-32.0,0.9033412263490964,False,True,False,2,0.0,0.0
89,-330.0,0.8979371372623728,False,False,True,60,0.0,0.0
90,-21.0,0.8978473435486466,False,True,False,1,0.0,0.0
91,-94.0,0.8965911739820346,False,True,False,14,0.0,0.0
92,-21.0,0.8965015148646364,False,True,False,1,0.0,0.0
93,-21.0,0.8964118647131499,False,True,False,1,0.0,0.0
94,-54.0,0.896053353748391,False,True,False,4,0.0,0.0
95,-32.0,0.8958741520381749,False,True,False,2,0.0,0.0
96,-21.0,0.8957845646229711,False,True,False,1,0.0,0.0
97,-42.0,0.8956054166678922,False,True,False,2,0.0,0.0
98,-34.0,0.8952472282339677,False,True,False,4,0.0,0.0
99,-46.0,0.894710214166208,False,True,False,6,0.0,0.0
100,-55.0,0.8942629485211997,False,True,False,5,0.0,0.0
101,-43.0,0.8939946964636375,False,True,False,3,0.0,0.0
102,-83.0,0.8928332004184797,False,True,False,13,88.73314666748047,0.703125
103,-32.0,0.892654642706728,False,True,False,2,107.10680389404297,0.8046875
104,-21.0,0.8925653772424573,False,True,False,1,87.12040710449219,0.7265625
105,-21.0,0.8924761207047331,False,True,False,1,74.83189392089844,0.7421875
106,-21.0,0.8923868730926627,False,True,False,1,72.71307373046875,0.75
107,-31.0,0.8922976344053535,False,True,False,1,77.60624694824219,0.6953125
108,-32.0,0.8921191838014488,False,True,False,2,47.78736114501953,0.765625
109,-89.0,0.891316597624007,False,True,False,9,26.959747314453125,0.796875
110,-21.0,0.8912274659642445,False,True,False,1,23.510868072509766,0.8125
111,-33.0,0.890960124460388,False,True,False,3,19.706283569335938,0.8203125
112,-67.0,0.8903366394437113,False,True,False,7,18.52767562866211,0.890625
113,-21.0,0.8902476057797669,False,True,False,1,14.795629501342773,0.859375
114,-21.0,0.890158581019189,False,True,False,1,12.96664810180664,0.8203125
115,-56.0,0.8896246193765628,False,True,False,6,19.738218307495117,0.84375
116,-21.0,0.8895356569146251,False,True,False,1,13.025690078735352,0.828125
117,-32.0,0.8893577586785987,False,True,False,2,12.348931312561035,0.890625
118,-21.0,0.8892688229027308,False,True,False,1,12.193245887756348,0.8046875
119,-32.0,0.8890909780308385,False,True,False,2,11.986591339111328,0.8125
120,-43.0,0.8888242774092694,False,True,False,3,14.165268898010254,0.8671875
121,-21.0,0.8887353949815284,False,True,False,1,9.106513977050781,0.7890625
122,-56.0,0.8882022870370755,False,True,False,6,12.89276123046875,0.7734375
123,-21.0,0.8881134668083718,False,True,False,1,9.96667194366455,0.796875
124,-118.0,0.885630103262571,False,True,False,28,10.039990425109863,0.8203125
125,-360.0,0.8803319680327,False,False,True,60,8.41984748840332,0.7265625
126,-21.0,0.8802439348358967,False,True,False,1,6.743150234222412,0.8125
127,-21.0,0.8801559104424131,False,True,False,1,4.899277687072754,0.8125
128,-36.0,0.8796279489019324,False,True,False,6,4.977653503417969,0.8203125
